eps,min_samples,metric,noise_ratio,num_clusters,silhouette_score
0.2,10,euclidean,0.9106280193236715,3,0.9628652334213257
0.2,7,euclidean,0.7391304347826086,11,0.8307557106018066
0.2,5,euclidean,0.5193236714975845,26,0.7327394485473633
0.2,3,euclidean,0.2222222222222222,51,0.6251373291015625
0.5,10,euclidean,0.23429951690821257,10,0.5284003615379333
0.5,7,euclidean,0.08695652173913043,13,0.3967462480068207
0.9,3,euclidean,0.0,2,0.3470328450202942
0.9,5,euclidean,0.0,2,0.3470328450202942
0.9,7,euclidean,0.0,2,0.3470328450202942
1.0,3,euclidean,0.0,2,0.3470328450202942
1.0,5,euclidean,0.0,2,0.3470328450202942
1.0,7,euclidean,0.0,2,0.3470328450202942
1.0,10,euclidean,0.0,2,0.3470328450202942
0.7,7,euclidean,0.028985507246376812,5,0.30719366669654846
0.9,10,euclidean,0.0,3,0.3033372163772583
0.7,10,euclidean,0.033816425120772944,6,0.2243427038192749
0.7,3,euclidean,0.0,7,0.14702585339546204
0.7,5,euclidean,0.0,7,0.14702585339546204
0.5,5,euclidean,0.026570048309178744,13,0.13527899980545044
0.5,3,euclidean,0.007246376811594203,13,0.11156293749809265
